ID,Modul,Pagină,Tip,Prioritate,Problemă,Soluție propusă,Screenshot,Status
BUG-24,Cheltuieli,"/expenses/create, /edit",UX / Business logic,Medie,"Campul VAT rate % nu calculeaza automat VAT amount (ramane 0 chiar si dupa setarea unui rate valid ca 8.1%), ducand la un breakdown VAT incorect (Net = Gross) in VAT summary daca utilizatorul nu completeaza manual si VAT amount.","Auto-calculați VAT amount = Amount x VAT rate când utilizatorul introduce manual rate-ul, sau clarificați prin UI că ambele câmpuri trebuie completate manual.",BUG-24.png,Deschis
BUG-25,Ask Settlo,/ask-settlo,Bug critic (UI/Layout),Critică,"Elementele decorative din starea goala (badge-uri CHF 0 YTD, VAT: Not registered, sugestii de intrebari) raman suprapuse fix peste conversatia reala, ascunzand raspunsurile AI-ului si butoane precum Verify with accountant. Bug-ul persista la latimi diferite ale ferestrei (1114px, 1280px, 1372px).","Corectați poziționarea CSS a elementelor din starea goală, astfel încât să dispară complet când o conversație este activă.",BUG-25.png,Deschis
BUG-26,Dashboard,/ask-settlo?q=...,Bug funcțional,Medie,"Click pe sugestiile de intrebari din widgetul Ask Settlo de pe Dashboard (ex. Can I deduct this?) navigheaza cu un parametru query (?q=...), dar nu initiaza automat conversatia - pagina ramane pe No conversations yet.","La încărcarea paginii cu parametrul q, porniți automat o conversație nouă cu întrebarea respectivă.",BUG-26.png,Deschis
BUG-27,Dashboard,/app/{businessId} (To-do),UX,Medie,"Elementul to-do Send invoice INV-2026-0001 navigheaza catre pagina de Edit a facturii, nu catre o actiune reala de trimitere (care oricum lipseste complet - vezi BUG-19), inducand utilizatorul in eroare.","Fie adăugați o acțiune reală Send accesibilă direct din to-do, fie redenumiți elementul pentru a reflecta corect destinația (Edit).",BUG-27.png,Deschis
BUG-28,Business settings,Business profile,Validare,Scăzută,"Mesajul de eroare pentru campul UID afiseaza text cu litera mica: ""The uID field format is invalid."" in loc de ""UID"".",Se corecteaza atributul din fisierul de traduceri/validare pentru afisare cu majuscula.,BUG-28.png,Deschis
BUG-29,Business settings,Business profile,Validare,Medie,"Campul Postal code accepta orice caracter (ex. ""ABCDE""), fara validare de format, desi codurile postale elvetiene au 4 cifre.",Se adauga validare de format (4 cifre numerice).,BUG-29.png,Deschis
BUG-30,Business settings,Invoicing,Validare,Scăzută,"Mesajul de eroare pentru campul IBAN afiseaza text cu litera mica: ""The iBAN field is required."" in loc de ""IBAN"".",Se corecteaza atributul din fisierul de traduceri/validare.,BUG-30.png,Deschis
BUG-31,Business settings,Business profile / Invoicing,UI/UX,Inaltă,"Mesajele de eroare (Canton, IBAN etc.) raman afisate (""stale"") chiar si dupa ce valoarea a fost corectata; se actualizeaza abia la schimbarea tab-ului.",Actualizare reactiva a mesajelor de eroare la fiecare modificare a campului.,BUG-31.png,Deschis
BUG-32,Business settings,Invoicing,Functional,Critică,"IBAN-ul introdus in tab-ul Invoicing nu se salveaza in baza de date: ""Save changes"" nu arata eroare si request-ul returneaza status 200, dar la reincarcarea paginii campul IBAN apare gol.",Se verifica handler-ul de salvare Livewire pentru acest tab; se asigura persistarea reala a datelor in backend.,BUG-32.png,Deschis
BUG-33,Business settings,Tax profile,Functional,Critică,"Datele din Tax profile (Tax canton, Commune, Dependent children, Pillar 3a) nu se salveaza: la reincarcarea paginii toate valorile revin la starea anterioara.",Se verifica handler-ul de salvare Livewire pentru tab-ul Tax profile.,BUG-33.png,Deschis
BUG-34,Business settings,Tax profile,Date,Inalta,"Dropdown-ul Commune nu are nicio optiune (""No options available."") pentru cantonul AG, desi pentru ZH lista se populeaza corect.","Se completeaza/verifica sursa de date a comunelor pentru toate cantoanele, inclusiv AG.",BUG-34.png,Deschis
BUG-35,Business settings,Tax profile,Validare,Medie,"Campul Dependent children accepta valori negative (ex. -5) fara nicio validare, desi reprezinta un numar de persoane.",Se adauga validare minima (valoare >= 0) pentru campul Dependent children.,BUG-35.png,Deschis
BUG-36,Business settings,Tax profile,Validare,Medie,"Campul Pillar 3a contributions/year accepta valori mult peste plafonul CHF 35'280, desi textul de sub camp promite plafonare automata (""capped automatically""); valoarea introdusa (999999) nu a fost plafonata.","Se implementeaza plafonarea automata reala a valorii la maximul legal, conform textului afisat utilizatorului.",BUG-36.png,Deschis
BUG-37,Bank Accounts,Create Bank Account,Functional,Critică,"La al doilea click pe ""Create"" cu un IBAN invalid (formularul afisase deja eroarea ""Enter a valid Swiss (CH) or Liechtenstein (LI) IBAN.""), contul bancar este creat oricum in baza de date cu IBAN-ul invalid, fara a bloca salvarea.","Se adauga validare server-side care sa blocheze definitiv salvarea unui IBAN invalid, indiferent de numarul de click-uri pe Create.",BUG-37.png,Deschis
BUG-38,Clients,Create Client,Validare,Critica,"Campurile obligatorii (Name, Email format, Payment term) nu afiseaza niciun mesaj de eroare la validare esuata - doar o bordura verde pe camp, fara text explicativ.",Se adauga mesaje de eroare vizibile sub fiecare camp invalid.,BUG-38.png,Deschis
BUG-39,Clients,Create Client,Validare,Medie,"Campul VAT number accepta orice text (ex. ""INVALIDVAT"") fara nicio validare de format.",Se adauga validare de format pentru numarul de TVA elvetian (CHE-xxx.xxx.xxx).,BUG-39.png,Deschis
BUG-40,Clients,Create Client,Validare,Scazuta,"Campul Postal code accepta valori nenumerice (ex. ""ZZ99"") fara validare.",Se adauga validare de format pentru codul postal.,BUG-40.png,Deschis
BUG-41,Clients,Clients List,Functional,Medie,"La stergerea unui client cu facturi asociate, dialogul de confirmare nu avertizeaza despre impactul asupra facturilor existente.",Se adauga un avertisment explicit in dialog cand clientul are facturi asociate.,BUG-41.png,Deschis
BUG-42,Clients,Clients List,Functional,Medie,"Dupa stergerea filtrului de cautare (buton X), lista ramane blocata pe ""No clients"" - se reimprospateaza corect doar dupa reincarcarea completa a paginii.",Se corecteaza reactualizarea listei la resetarea filtrului de cautare.,BUG-42.png,Deschis
BUG-43,Tax estimate,/app/tax-overview,Bug functional,Mare,"AHV/IV/EO contributions afisat (CHF 514.00) nu corespunde cu deducerea folosita la calculul Taxable income. Ex: Net income CHF 966.41 - AHV 514.00 ar trebui sa dea 452.41, dar Taxable income afisat e 915.19 (diferenta de ~51.22, adica doar ~5.3% din net income a fost dedus, nu cei 514 afisati). Reprodus identic si la al doilea test (Net income 750.21, AHV 514.00, Taxable income 710.45, diferenta tot ~5.3%).","De verificat formula de calcul a Taxable income - sa foloseasca aceeasi valoare AHV/IV/EO afisata, sau sa se clarifice explicit daca se aplica o rata redusa diferita si de ce.",,Deschis
BUG-44,VAT summary / Expenses,/app/vat-summary,UX,Medie,"O cheltuiala noua introdusa cu VAT amount si VAT rate completate corect nu apare deloc in Input VAT summary pana nu este confirmata manual (status trece din ""Review needed"" in ""Confirmed"" via meniul actiuni al listei de cheltuieli). Nu exista nicio mentiune vizibila pe VAT summary sau Tax estimate ca doar cheltuielile ""Confirmed"" sunt incluse in calcule.","Se adauga un mesaj/indicator explicit pe VAT summary si Tax estimate (ex. ""X cheltuieli asteapta confirmare, nu sunt incluse in total"") pentru a clarifica de ce anumite sume lipsesc.",,Deschis
BUG-45,Business settings,Tax profile (form unificat cu Invoicing/Business profile),Bug functional,Critica,"La salvarea modificarilor din tab-ul Tax profile (ex. schimbare canton AG->ZH + comuna, sau completare Estimated annual revenue), butonul ""Save changes"" esueaza silentios daca IBAN-ul (camp obligatoriu doar pe tab-ul Invoicing) lipseste, fara mesaj de eroare vizibil pe Tax profile. La reincarcarea paginii toate modificarile sunt pierdute. Prima incercare a aratat eroarea ""The iBAN field is required"" doar dupa comutarea automata pe tab-ul Invoicing; a doua incercare nu a afisat nicio eroare, desi salvarea tot a esuat.","Se afiseaza eroarea de validare direct pe tab-ul unde userul salveaza (Tax profile) sau se permite salvarea partiala per tab, fara blocaj cauzat de campuri obligatorii din alte sectiuni ale formularului.",,Deschis
BUG-46,Invoices / Tax estimate,/app/invoices/{id},De verificat,Medie,"Business-ul are VAT status ""Not registered (under CHF 100k)"", dar o factura poate fi creata si trimisa cu TVA calculat (8.1%) pe linia de servicii. Suma cu TVA inclus (Gross CHF 1'086.41) e preluata integral ca ""Gross revenue"" in Tax estimate, desi firma nu ar trebui sa colecteze TVA daca nu e inregistrata.","De verificat daca formularul de factura ar trebui sa blocheze/ascunda campurile de TVA cand VAT status = ""Not registered"", si daca Gross revenue din Tax estimate ar trebui sa excluda TVA colectat eronat.",,Deschis
BUG-47,Ask Settlo (chat AI),/app/{id}/ask-settlo,Bug functional,Critica,"Raspunsurile generate de AI se trunchiaza sistematic la mijlocul propozitiei, indiferent de intrebare. Reprodus pe 3 conversatii diferite (ex: la intrebarea despre cheltuieli deductibile raspunsul se opreste la ""Here are the primary business expenses you can deduct:"" fara sa enumere ceva; la intrebarea despre home office se opreste la mijlocul unei propozitii despre autoritatile fiscale). Request-ul de streaming returneaza status 200, deci trunchierea pare cauzata de o limita de lungime a raspunsului sau o problema de randare/streaming, nu de eroare de server.",Verificati limita de tokeni/lungime configurata pentru completions si logica de streaming (SSE) pe backend; asigurati-va ca raspunsul complet este generat inainte de a marca mesajul ca finalizat; adaugati un mecanism de retry/continuare daca streaming-ul se inchide prematur.,,Deschis
BUG-48,Ask Settlo - Escaladare contabil,/app/{id}/ask-settlo,Bug functional,Critica,"Butonul ""Verify with accountant"" (escaladare raspuns AI catre contabilul uman) esueaza constant. La click apare un toast ""Server Error"", iar request-ul POST catre /ask-settlo/{id}/messages/{messageId}/escalate returneaza status 500. ""Human answers"" ramane 0/1 si ""Escalation history"" ramane gol, deci functia de validare umana (un pilon de siguranta al produsului) e complet indisponibila.","Investigati eroarea 500 pe endpointul /escalate (logs backend); verificati daca lipseste vreo validare/relatie (ex. contabil neasignat, plan neactivat) care cauzeaza exceptia; afisati un mesaj de eroare mai descriptiv pentru user in loc de ""Server Error"" generic.",,Deschis
BUG-49,Ask Settlo - UI chat,/app/{id}/ask-settlo,UI/Consistenta,Medie,"Badge-urile de context (locatie cantonala, ""CHF X YTD"", status TVA) afisate deasupra conversatiei se suprapun peste bula de mesaj a AI-ului si peste antetul ""Settlo AI / Swiss tax assistant"", facand textul greu de citit. Reprodus la latimi de fereastra diferite (1126px si 1600px), deci nu e doar o problema de responsive design la ecrane mici, ci de pozitionare (posibil absolute positioning/z-index) a badge-urilor peste panoul de chat.","Revizuiti pozitionarea badge-urilor de context astfel incat sa nu se suprapuna peste continutul chat-ului la nicio latime de ecran; considerati plasarea lor intr-un header fix, non-overlapping, sau intr-un panou lateral separat.",,Deschis
BUG-50,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Mare,"Sub câmpul ""Business Type"" este scris ""Only sole proprietorships are supported for now."" si ar putea da un feeling ciudat unui user care are un GmbH sau AG. Ii pierdem si nu mai revin. ","Stergem ""Only sole proprietorships are supported for now."" si in lista de variante pe care le poti selecta lasam Soleproprietorship activ si GmbH si AG dezactivate scrise un un gri mai sters si in dreptul fiecăreia intr-un bubble cu margini rosii sau ceva de genul scris ""Coming soon"".",BUG-50.png,Deschis
BUG-50.5,Inregistrare / structură model de date,https://settlo-one.vercel.app/app/new,,Mare,"In altuala structură un user poate avea doar un business. Dar in Elvetia o persoanfă fizică poate avea mai multe sole proprietorships (PFA-uri), dar si mai multe companii GmbH sau AG. ","Noi ar trebui să facem onboarding persoanei fizice în primă fază. Apoi din dashboard să poată selecta butonul ""Set up a business"" sau să selecteze unul dintre worspace-urile firmelor deja inregistrate. ",,Deschis
,,,,,,"De asemenea, ""Tax profile"" este despre persoana fizică. Va avea buton in dashboard de PF ""Tax Profile"" unde isi va completa informațiile despre el ca PF. Acolo vom trage si informațiile din profilurile companiilor pe care le are referitor la venituri ca PFA, dar si (in viitor) alte venituri din firmele GmbH sau AG pe care le are (dividende, salarii, etc.).",,Deschis
BUG-51,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Mare,Alte platforme nu cer in fluxul de onboarding deja datele companiei pentru a nu pierde useri care nu au rabdare.,"Sub titlul ""Set up your business"" punem putin mai mic un subtitlu ""We'll use this information to configure invoicing, accounting and tax settings for your business. It only takes about a minute."", dar punem si un buton jos langa butonul ""Next"" pe care scriem ""Skip for now"" sau ""I'll do it later"" ",,Deschis
BUG-52,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Scăzută,"Numărul de telefon, desi optional, ne-ar folosi foarte mult dacă ar fi corect pentru viitoare scopuri de marketing si sales. Acum poate fi completat sau nu si fără o validare a lui. ","As pune formatul acela de număr de telefon in care selectezi din lista codul de țară si apoi completezi restul numărului, cu validarea formatului numărului (sunt algoritmi de verificare usor de implementat). Si apoi as folosi si un serviciu de trimitere a unui OTP ca sa ne arate ca este al lui numărul. Putem face asta de acum, sau putem sa implementăm ulterior, cum consideri...",BUG-52.png,Deschis
BUG-53,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Mare,"Tot pe acelasi ecran apar si dispar butoanele de ""Back"" si ""Start Free Trial"". De ce as apăsa pe ""Start Free Trial"" după ce am completat (sau nu) doar o parte din datele firmei. ","Cred că acolo ar trebui să existe butonul ""Skip for now"" care ma duce direct in dashboard-ul meu fără să mă mai treacă prin celelalte ecrane de ""Banking"", ""Tax Profile"" si ""Choose Your Plan"". Dacă completează doar datele firmei si trece in ecranul de ""Banking"" de asemenea trebuie sa existe butonul de ""Skip for now"", la fel la ""Tax Profile"" si ""Choose your Plan"". Butonul ""Next"" pe fiecare dintre ecrane ar trebui să fie inactiv pana nu sunt completate toate campurile corect.  ",,Deschis
BUG-54,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Mare,"Nu este prea clar care este diferența intre ""Business name"" si ""Legal name"". ","Eu as inlocui ""Legal name"" cu ""Trading name"".",BUG-54.png,Deschis
BUG-55,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Mare,"La termenul de plată setat pentru facturi acum avem doar trei optiuni: 15, 30 si 60 de zile. ",Poate vor să isi seteze termene mai putin rotunde. Hai sa ii lasam sa introducă ce vor cu validare pe număr pozitiv intreg.,BUG-55.png,Deschis
BUG-56,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Medie,Multi useri e posibil să nu stie ce este UID. ,"As inlocui ""UID (optional)"" cu ""Swiss business registration number (UID)"" si cu scris mai mic sub ""Optional if your business is not registered in the Swiss Commercial Register yet.""",,Deschis
BUG-57,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Mare,Nu avem un indicator de progres. ,"Ca sa iti fie usor si sa nu pierzi mult timp la implementare, as pune in josul ecranelor in felul următor: 1/4, 2/4, 3/4, 4/4. Problema insă cred ca se rezolvă de la sine dacă modul de vizualizare permite să se vadă denumirile tuturor celor 4 ecrane in partea de sus unde le-ai pus acum si se vede bifa pe fiecare pe măsură ce am completat. Acum, si pe desktop eu vad in layout de mobil.",,Deschis
BUG-58,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Mare,Validarea formatului UID se face doar cand apesi butonul NEXT.,"Hai sa facem validarea in timp real, pe măsură ce se completează campul.",,Deschis
BUG-58,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Medie,Completarea UID nu completează automat celelalte randuri. ,"As pune primul UID si odată completat, as trage din registrele publice disponibile datele cu posibilitatea de a fi editate de user dacă cumva nu sunt corecte. ",,Deschis
BUG-58,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Mare,"In ecranul ""Tax Profile"" care va deveni ecran desine stătător in dashboard PF, lista de ""Commune"" sp fie prestabilită. Acum nu are nici o variantă in listă. Nu se poate selecta nimic. ",,,Deschis
,,,,,Cantonul nu se preia din profil business.,,,Deschis
,,,,,"Toate explicatiile acelea lungi de sub cămpuri să apară intr-un bubble si să dispară cand pui cursorul pe un cerculet cu ""i"" in el. Ca sa păstrăm ecranul mai clean.",,,Deschis
BUG-59,Inregistrare,https://settlo-one.vercel.app/app/new,UI/UX,Mare,Este o problemă de layout și din asezarea casetelor care formează sectiunile facturii nou-create rezultă spații foarte mici pentru câmpurile de date și nu se vede ce completezi. De exemplu la pret unitar. ,Propun să asezăm toate casetele una sub alta pe toată lățimea ecranului. ,BUG-59.png,Deschis
